paulfrank	NC_Paul_Frank
velwin	velwin-display
报喜鸟	bxngf002154 
amass	AMASS-SX
gujin古今	gujingroup
CROCS	crocsbag
le saunda	lesaunda_hz
诺诗兰	NORTHLAND-MAS
ZARA	ZaraCH
MLB	mlb_china
MOUSSY	BJ104MOUSSY
SELECTED	VEROMODA
tutuanna	tutuanna_china
Calvin Klein	CKJeans_SuXi
GUESS	GUESS-YN
VERSACE	Hzyh-Cxj
JNBY	BeiJingJNBY
JACK&JONES	jack_jones_china
Levi's	DIESELCHINA
NEW LOOK	newlookchina
JUCY JUDY	JUCYJUDY0007
诗篇	UKPSALTER
Lily商务时装	lilycollection
LALABOBO	LOVELALABOBO
太平鸟男装	peacebrid_89
HLA海澜之家	HEILAN_HOME_HLA
BASIC HOUSE	BASICHOUSE_CN
Lee	leejeans1889
雅戈尔	Youngor-Group
crocs	welovecrocs
Cache Cache	CacheCache-China
gxg.jeans	GXG2007
HAZZYS	HAZZYS2013
less	less-since2003
匡威	Converse-China
pancoat	pancoat_cn
MERRYWANG	merrywang_myqueen
Mind Bridge	MindBridge_CN
Rebecca	RebeccaMinkoff_NY
喜乐库 	SiloFashion
金利来皮具	goldlion_leather
LeeMonsan	ms13599502065
屈臣氏	Watsonscn
innisfree	innisfreefamily
欧舒丹	LOCCITANE_PROVENCE
SEPHORA	sephora_china
兰芝	laneige_china
MIROCO	MIROCO_HMY
L'OREAL	Loreal-China
理肤泉	larocheposay1975
雅漾	Eau_Thermale_Avene
tiger专柜	onitsukatigerChina
UBSKIN	ubskinchina
STENDERS施丹兰	STENDERS-China
自然堂	jala_chando
林清轩	Linqingxuan-JD
韩束kans	KanS-2002
mamonde	mamondeMZ
佰草集	HerboristBCJ
卡姿兰 	carslan520
STS	STS-YYH
珂洁	keathevip
菜百首饰	bjcaibaishoushi
CASIO	casio-store
六福珠宝	Lukfook_2012
IDO	hiersun_Ido
TESIRO通灵	leysen1855-jewelry
Swatch	SWATCH斯沃琪
浪琴	Longines_Official
瑞恩钻饰名店	rainring_bj
7度c国际时尚银饰 	QDYS0357
老凤祥	LFXGFPT
北京ALIENWARE外星人	ALIENWARE-1996
DRAGONSTAR英龙华辰	iddragonstar_06
samsung	samsung_electtronics
oppo	oppomobile
vivio	vivio-service
VANS	vins1100
SKECHERS	SKECHERS_China
FILA	I_FILA
new balance	NB_since1906
耐克nike	nikejdi
THENORTHFACE	thfchina
adidas originals	adidasSP
可隆	kolon_8101
JackWolfskin	JackWolfskin_wx
Columbia	Columbia_china
诺诗兰	jd_northland
kappa	kappachina
pony	pony_studio
特步	xtep_china
必迈	bmail001
oneway	shopow
乐智小天地	lzxtd-qiaohu
T100kids	T100kids
酷乐潮玩	weiexdl
童泰	tongtai_1986
mcro	macco-migaoskates
永辉超市	yonghui1933
索菲亚全屋定制	sogaljiaju
